,continued_claims_monthly
2008-08-31,3378000.0
2008-09-30,3521750.0
2008-10-31,3731000.0
2008-11-30,4096600.0
2008-12-31,4522250.0
2009-01-31,4861200.0
2009-02-28,5297000.0
2009-03-31,5765750.0
2009-04-30,6184500.0
2009-05-31,6525600.0
2009-06-30,6534250.0
2009-07-31,6139000.0
2009-08-31,6047800.0
2009-09-30,5984750.0
2009-10-31,5765600.0
2009-11-30,5460500.0
2009-12-31,5141750.0
2010-01-31,4839000.0
2010-02-28,4793750.0
2010-03-31,4731750.0
2010-04-30,4728000.0
2010-05-31,4674800.0
2010-06-30,4583250.0
2010-07-31,4528600.0
2010-08-31,4461250.0
2010-09-30,4467750.0
2010-10-31,4363400.0
2010-11-30,4195500.0
2010-12-31,4100000.0
2011-01-31,3918400.0
2011-02-28,3849250.0
2011-03-31,3765500.0
2011-04-30,3770800.0
2011-05-31,3773750.0
2011-06-30,3741750.0
2011-07-31,3721600.0
2011-08-31,3716000.0
2011-09-30,3742750.0
2011-10-31,3701600.0
2011-11-30,3652500.0
2011-12-31,3573400.0
2012-01-31,3451250.0
2012-02-29,3381750.0
2012-03-31,3336800.0
2012-04-30,3323000.0
2012-05-31,3328000.0
2012-06-30,3324400.0
2012-07-31,3305750.0
2012-08-31,3306250.0
2012-09-30,3314400.0
2012-10-31,3276250.0
2012-11-30,3326250.0
2012-12-31,3190200.0
2013-01-31,3132750.0
2013-02-28,3058750.0
2013-03-31,3037800.0
2013-04-30,3041500.0
2013-05-31,3012250.0
2013-06-30,2992800.0
2013-07-31,3020250.0
2013-08-31,2934400.0
2013-09-30,2895750.0
2013-10-31,2928500.0
2013-11-30,2851200.0
2013-12-31,2858500.0
2014-01-31,2876750.0
2014-02-28,2848750.0
2014-03-31,2779200.0
2014-04-30,2721000.0
2014-05-31,2667400.0
2014-06-30,2588750.0
2014-07-31,2533500.0
2014-08-31,2504800.0
2014-09-30,2447750.0
2014-10-31,2423250.0
2014-11-30,2408800.0
2014-12-31,2380000.0
2015-01-31,2349800.0
2015-02-28,2340250.0
2015-03-31,2326500.0
2015-04-30,2281500.0
2015-05-31,2260400.0
2015-06-30,2273750.0
2015-07-31,2244750.0
2015-08-31,2254000.0
2015-09-30,2243000.0
2015-10-31,2207600.0
2015-11-30,2208500.0
2015-12-31,2203750.0
2016-01-31,2207600.0
2016-02-29,2200500.0
2016-03-31,2167250.0
2016-04-30,2149000.0
2016-05-31,2169750.0
2016-06-30,2156750.0
2016-07-31,2134600.0
2016-08-31,2145000.0
2016-09-30,2109500.0
2016-10-31,2072600.0
2016-11-30,2044750.0
2016-12-31,2048400.0
2017-01-31,2081000.0
2017-02-28,2059750.0
2017-03-31,2017500.0
2017-04-30,1955400.0
2017-05-31,1896250.0
2017-06-30,1916750.0
2017-07-31,1927200.0
2017-08-31,1923500.0
2017-09-30,1892800.0
2017-10-31,1902750.0
2017-11-30,1963500.0
2017-12-31,1971000.0
2018-01-31,1979500.0
2018-02-28,1974250.0
2018-03-31,1945400.0
2018-04-30,1877500.0
2018-05-31,1755500.0
2018-06-30,1679400.0
2018-07-31,1654000.0
2018-08-31,1614000.0
2018-09-30,1551000.0
2018-10-31,1592750.0
2018-11-30,1685000.0
2018-12-31,1749600.0
2019-01-31,1779500.0
2019-02-28,1801500.0
2019-03-31,1780200.0
2019-04-30,1666500.0
2019-05-31,1628000.0
2019-06-30,1631000.0
2019-07-31,1631000.0
2019-08-31,1619600.0
2019-09-30,1581000.0
2019-10-31,1618500.0
2019-11-30,1685200.0
2019-12-31,1769500.0
2020-01-31,1800250.0
2020-02-29,1770200.0
2020-03-31,3709750.0
2020-04-30,17032000.0
2020-05-31,20326400.0
2020-06-30,17678500.0
2020-07-31,16563000.0
2020-08-31,14013400.0
2020-09-30,11824250.0
2020-10-31,7871400.0
2020-11-30,5948250.0
2020-12-31,5384500.0
2021-01-31,4944600.0
2021-02-28,4431750.0
2021-03-31,3975250.0
2021-04-30,3788000.0
2021-05-31,3621600.0
2021-06-30,3298500.0
2021-07-31,3006800.0
2021-08-31,2782500.0
2021-09-30,2722250.0
2021-10-31,2357800.0
2021-11-30,1920250.0
2021-12-31,1716250.0
2022-01-31,1703000.0
2022-02-28,1634000.0
2022-03-31,1543500.0
2022-04-30,1432400.0
2022-05-31,1367000.0
2022-06-30,1365250.0
2022-07-31,1392600.0
2022-08-31,1417250.0
2022-09-30,1394500.0
2022-10-31,1411400.0
2022-11-30,1458000.0
2022-12-31,1566000.0
2023-01-31,1604000.0
2023-02-28,1646500.0
2023-03-31,1683250.0
2023-04-30,1716000.0
2023-05-31,1724500.0
2023-06-30,1760250.0
2023-07-31,1777200.0
2023-08-31,1806750.0
2023-09-30,1800200.0
2023-10-31,1810250.0
2023-11-30,1801000.0
2023-12-31,1796400.0
2024-01-31,1777250.0
2024-02-29,1793500.0
2024-03-31,1799000.0
2024-04-30,1783750.0
2024-05-31,1798750.0
2024-06-30,1841000.0
2024-07-31,1864000.0
2024-08-31,1854400.0
2024-09-30,1834750.0
2024-10-31,1870000.0
2024-11-30,1873800.0
2024-12-31,1861750.0
2025-01-31,1867750.0
